
# Surface 0 of 1 surfaces

# Curve title: "'Datos/dataContour.txt'"

# IsoCurve 0, 100 points
# x y z type
 95  2 -4.90892e-08 o
 95  3 -1.52034e-07 o
 95  4 -3.90594e-07 o
 95  5 -8.17997e-07 i
 95  6 -1.34845e-06 i
 95  7 -1.59265e-06 i
 95  8 -8.67975e-07 i
 95  9  1.37956e-06 i
 95  10  4.87759e-06 i
 95  11  7.3438e-06 i
 95  12  7.01508e-06 i
 95  13  4.19571e-07 i
 95  14 -8.4151e-06 i
 95  15 -1.15994e-05 i
 95  16 -8.78048e-06 i
 95  17  1.60439e-05 i
 95  18  3.43644e-05 i
 95  19  5.51792e-05 i
 95  20  6.82169e-05 i
 95  21  7.64878e-05 i
 95  22  0.000139869 i
 95  23  0.000274446 i
 95  24  0.000500719 i
 95  25  0.00080875 i
 95  26  0.00122719 i
 95  27  0.00175136 i
 95  28  0.00238258 i
 95  29  0.00318186 i
 95  30  0.00420584 i
 95  31  0.00534584 i
 95  32  0.00655206 i
 95  33  0.00777439 i
 95  34  0.00896652 i
 95  35  0.0101633 i
 95  36  0.0111204 i
 95  37  0.011737 i
 95  38  0.0122438 i
 95  39  0.0125249 i
 95  40  0.0125301 i
 95  41  0.0124868 i
 95  42  0.0119232 i
 95  43  0.0112994 i
 95  44  0.0114337 i
 95  45  0.0108453 i
 95  46  0.00968513 i
 95  47  0.00986024 i
 95  48  0.00993178 i
 95  49  0.00851126 i
 95  50  0.00742275 i
 95  51  0.00851126 i
 95  52  0.00993178 i
 95  53  0.00986024 i
 95  54  0.00968513 i
 95  55  0.0108453 i
 95  56  0.0114337 i
 95  57  0.0112994 i
 95  58  0.0119232 i
 95  59  0.0124868 i
 95  60  0.0125301 i
 95  61  0.0125249 i
 95  62  0.0122438 i
 95  63  0.011737 i
 95  64  0.0111204 i
 95  65  0.0101633 i
 95  66  0.00896652 i
 95  67  0.00777439 i
 95  68  0.00655206 i
 95  69  0.00534584 i
 95  70  0.00420584 i
 95  71  0.00318186 i
 95  72  0.00238258 i
 95  73  0.00175136 i
 95  74  0.00122719 i
 95  75  0.00080875 i
 95  76  0.000500719 i
 95  77  0.000274446 i
 95  78  0.000139869 i
 95  79  7.64878e-05 i
 95  80  6.82169e-05 i
 95  81  5.51792e-05 i
 95  82  3.43644e-05 i
 95  83  1.60439e-05 i
 95  84 -8.78048e-06 i
 95  85 -1.15994e-05 i
 95  86 -8.4151e-06 i
 95  87  4.19571e-07 i
 95  88  7.01508e-06 i
 95  89  7.3438e-06 i
 95  90  4.87759e-06 i
 95  91  1.37956e-06 i
 95  92 -8.67975e-07 i
 95  93 -1.59265e-06 i
 95  94 -1.34845e-06 i
 95  95 -8.17997e-07 i
 95  96 -3.90594e-07 o
 95  97 -1.52034e-07 o
 95  98 -4.90892e-08 o
 95  99 -1.3745e-08 o

# IsoCurve 5, 100 points
# x y z type
 94  0 -2.45146e-08 o
 94  1 -4.90946e-08 o
 94  2 -1.46581e-07 o
 94  3 -3.79797e-07 o
 94  4 -8.01975e-07 o
 94  5 -1.32809e-06 i
 94  6 -1.5701e-06 i
 94  7 -8.33458e-07 i
 94  8  1.46867e-06 i
 94  9  4.92844e-06 i
 94  10  8.16382e-06 i
 94  11  7.13065e-06 i
 94  12  1.67798e-06 i
