
# Surface 0 of 1 surfaces

# Curve title: "'Datos/dataContour.txt'"

# IsoCurve 0, 100 points
# x y z type
 94  13  2.68108e-05 i
 94  14  2.61095e-05 i
 94  15  1.28875e-05 i
 94  16  1.0154e-05 i
 94  17 -1.24499e-05 i
 94  18  5.77672e-05 i
 94  19  0.00011009 i
 94  20  0.000255381 i
 94  21  0.000465161 i
 94  22  0.00084471 i
 94  23  0.00149605 i
 94  24  0.00243585 i
 94  25  0.00383138 i
 94  26  0.00572228 i
 94  27  0.00811601 i
 94  28  0.0109608 i
 94  29  0.013891 i
 94  30  0.016719 i
 94  31  0.0188461 i
 94  32  0.0200176 i
 94  33  0.0198063 i
 94  34  0.0182388 i
 94  35  0.0154269 i
 94  36  0.0118505 i
 94  37  0.00815499 i
 94  38  0.00493881 i
 94  39  0.0025902 i
 94  40  0.00101624 i
 94  41 -0.000110953 i
 94  42 -0.00141752 i
 94  43 -0.00315813 i
 94  44 -0.00524759 i
 94  45 -0.00722187 i
 94  46 -0.0084431 i
 94  47 -0.00866141 i
 94  48 -0.00805442 i
 94  49 -0.0072537 i
 94  50 -0.00690498 i
 94  51 -0.0072537 i
 94  52 -0.00805442 i
 94  53 -0.00866141 i
 94  54 -0.0084431 i
 94  55 -0.00722187 i
 94  56 -0.00524759 i
 94  57 -0.00315813 i
 94  58 -0.00141752 i
 94  59 -0.000110953 i
 94  60  0.00101624 i
 94  61  0.0025902 i
 94  62  0.00493881 i
 94  63  0.00815499 i
 94  64  0.0118505 i
 94  65  0.0154269 i
 94  66  0.0182388 i
 94  67  0.0198063 i
 94  68  0.0200176 i
 94  69  0.0188461 i
 94  70  0.016719 i
 94  71  0.013891 i
 94  72  0.0109608 i
 94  73  0.00811601 i
 94  74  0.00572228 i
 94  75  0.00383138 i
 94  76  0.00243585 i
 94  77  0.00149605 i
 94  78  0.00084471 i
 94  79  0.000465161 i
 94  80  0.000255381 i
 94  81  0.00011009 i
 94  82  5.77672e-05 i
 94  83 -1.24499e-05 i
 94  84  1.0154e-05 i
 94  85  1.28875e-05 i
 94  86  2.61095e-05 i
 94  87  2.68108e-05 i
 94  88  1.83442e-05 i
 94  89  2.69433e-05 i
 94  90  2.22197e-05 i
 94  91  1.1596e-05 i
 94  92  3.28717e-06 i
 94  93  2.27071e-06 i
 94  94  1.39743e-05 i
 94  95  2.09899e-05 i
 94  96 -3.57234e-06 o
 94  97 -1.79343e-05 o
 94  98 -3.75248e-05 o
 94  99 -9.80092e-06 o

# IsoCurve 6, 100 points
# x y z type
 93  0  2.11006e-06 o
 93  1 -1.62238e-05 o
 93  2 -1.7754e-06 o
 93  3 -2.3039e-05 o
 93  4 -1.35244e-05 o
 93  5  5.98612e-07 i
 93  6  5.01781e-06 i
 93  7 -7.72893e-06 i
 93  8 -2.50983e-05 i
 93  9 -3.57028e-06 i
 93  10  4.14613e-05 i
 93  11  4.17213e-05 i
 93  12  3.54353e-05 i
 93  13  1.05924e-05 i
 93  14  2.57877e-05 i
 93  15  5.38609e-05 i
 93  16  4.63834e-05 i
 93  17  0.000107989 i
 93  18  0.00016321 i
 93  19  0.000375123 i
 93  20  0.000657918 i
 93  21  0.00118608 i
 93  22  0.00200131 i
 93  23  0.00325337 i
 93  24  0.00499783 i
 93  25  0.00725544 i
 93  26  0.00993111 i
 93  27  0.0128323 i
 93  28  0.0156581 i
 93  29  0.0179181 i
 93  30  0.0191798 i
 93  31  0.0189294 i
 93  32  0.017075 i
 93  33  0.0138173 i
 93  34  0.00962312 i
 93  35  0.00534425 i
 93  36  0.00148182 i
 93  37 -0.00144374 i
 93  38 -0.00362857 i
 93  39 -0.00542924 i
 93  40 -0.00715868 i
 93  41 -0.00921857 i
 93  42 -0.0113913 i
 93  43 -0.0135689 i
 93  44 -0.015376 i
 93  45 -0.0165485 i
 93  46 -0.0172284 i
 93  47 -0.0173573 i
 93  48 -0.0173169 i
 93  49 -0.0171775 i
